iter	Passed	Remaining
0	4	485
1	9	468
2	14	457
3	19	456
4	23	453
5	28	449
6	33	445
7	38	440
8	42	433
9	47	428
10	52	423
11	57	420
12	62	415
13	67	413
14	72	409
15	76	404
16	82	400
17	86	395
18	91	391
19	96	387
20	101	382
21	106	377
22	111	372
23	115	367
24	120	362
25	125	357
26	130	352
27	134	346
28	139	342
29	144	336
30	149	332
31	154	328
32	159	324
33	165	321
34	170	317
35	175	312
36	181	308
37	186	303
38	192	300
39	197	296
40	203	292
41	208	287
42	213	283
43	219	278
44	224	274
45	229	269
46	234	264
47	239	259
48	244	254
49	249	249
50	254	244
51	258	238
52	263	233
53	268	228
54	273	223
55	278	218
56	283	213
57	287	208
58	292	203
59	297	198
60	302	193
61	307	188
62	312	183
63	317	178
64	322	173
65	327	168
66	332	163
67	337	158
68	342	153
69	347	148
70	352	143
71	356	138
72	361	133
73	366	128
74	370	123
75	375	118
76	380	113
77	384	108
78	389	103
79	394	98
80	399	93
81	404	88
82	408	83
83	414	78
84	419	73
85	424	69
86	429	64
87	435	59
88	440	54
89	446	49
90	451	44
91	457	39
92	463	34
93	468	29
94	473	24
95	478	19
96	483	14
97	488	9
98	494	4
99	499	0
